Date,Product Category,Region,Sales Amount (IDR)
2021-12-16 17:29:29.410985,Prepaid Pulsa,East Java,465519.0
2022-03-16 17:29:29.410982,Postpaid Biller,West Java,859374.0
2020-11-21 17:29:29.410997,Prepaid Pulsa,East Java,561590.0
2019-01-01 17:29:29.411017,Offline Payments/QRIS,East Java,573061.0
2022-11-11 17:29:29.410975,Prepaid Pulsa,West Java,858490.0
2020-10-22 17:29:29.410997,Send Money,West Java,852826.0
2019-04-01 17:29:29.411014,Postpaid Biller,Central Java,130267.0
2020-01-26 17:29:29.411005,Offline Payments/QRIS,Central Java,676399.0
2023-03-11 17:29:29.410971,Send Money,West Java,135729.0
2023-05-10 17:29:29.410969,Offline Payments/QRIS,Central Java,644297.0
2022-12-11 17:29:29.410974,Prepaid Pulsa,Jabodetabek,487189.0
2020-10-22 17:29:29.410997,Prepaid Pulsa,East Java,87100.0
2023-02-09 17:29:29.410972,Offline Payments/QRIS,Central Java,573381.0
2020-07-24 17:29:29.411000,Postpaid Biller,Central Java,882543.0
2023-07-09 17:29:29.410967,Send Money,Jabodetabek,157666.0
2019-08-29 17:29:29.411010,Offline Payments/QRIS,Central Java,833529.0
2020-12-21 17:29:29.410996,Prepaid Pulsa,Central Java,125572.0
2022-11-11 17:29:29.410975,Postpaid Biller,West Java,330545.0
2019-08-29 17:29:29.411010,Postpaid Biller,West Java,61129.0
2023-08-08 17:29:29.410965,Prepaid Pulsa,East Java,918302.0
2023-05-10 17:29:29.410969,Offline Payments/QRIS,Central Java,619550.0
2023-08-08 17:29:29.410965,Prepaid Pulsa,East Java,998456.0
2022-11-11 17:29:29.410975,Offline Payments/QRIS,Central Java,62484.0
2019-01-01 17:29:29.411017,Prepaid Pulsa,Jabodetabek,894688.0
2023-01-10 17:29:29.410973,Offline Payments/QRIS,Central Java,435802.0
2018-11-02 17:29:29.411019,Send Money,East Java,351928.0
2020-01-26 17:29:29.411005,Offline Payments/QRIS,West Java,648671.0
2021-07-19 17:29:29.410989,Postpaid Biller,Jabodetabek,30759.0
2022-07-14 17:29:29.410979,Send Money,West Java,837652.0
2020-04-25 17:29:29.411003,Offline Payments/QRIS,Jabodetabek,360954.0
2019-07-30 17:29:29.411010,Prepaid Pulsa,East Java,962145.0
2019-01-31 17:29:29.411016,Postpaid Biller,West Java,420322.0
2019-01-01 17:29:29.411017,Offline Payments/QRIS,Central Java,404868.0
2019-04-01 17:29:29.411014,Offline Payments/QRIS,East Java,742551.0
2021-10-17 17:29:29.410986,Postpaid Biller,West Java,197353.0
2022-10-12 17:29:29.410976,Offline Payments/QRIS,West Java,807360.0
2021-06-19 17:29:29.410990,Prepaid Pulsa,West Java,419366.0
2019-11-27 17:29:29.411007,Prepaid Pulsa,East Java,611045.0
2020-05-25 17:29:29.411002,Send Money,East Java,755988.0
2020-09-22 17:29:29.410998,Postpaid Biller,West Java,252355.0
2020-01-26 17:29:29.411005,Send Money,Central Java,388678.0
2023-09-07 17:29:29.410956,Offline Payments/QRIS,Jabodetabek,205115.0
2023-07-09 17:29:29.410967,Send Money,Central Java,995658.0
2020-02-25 17:29:29.411004,Send Money,East Java,849050.0
2023-08-08 17:29:29.410965,Prepaid Pulsa,Jabodetabek,184735.0
2022-12-11 17:29:29.410974,Prepaid Pulsa,East Java,122007.0
2023-05-10 17:29:29.410969,Prepaid Pulsa,Jabodetabek,648091.0
2021-06-19 17:29:29.410990,Offline Payments/QRIS,East Java,254487.0
2023-06-09 17:29:29.410968,Prepaid Pulsa,West Java,186478.0
2019-08-29 17:29:29.411010,Postpaid Biller,Jabodetabek,552317.0
2021-03-21 17:29:29.410993,Send Money,Jabodetabek,704438.0
2021-04-20 17:29:29.410992,Offline Payments/QRIS,East Java,929629.0
2019-05-31 17:29:29.411012,Prepaid Pulsa,Jabodetabek,376472.0
2020-03-26 17:29:29.411004,Send Money,West Java,510407.0
2022-03-16 17:29:29.410982,Send Money,East Java,117771.0
2023-07-09 17:29:29.410967,Postpaid Biller,Jabodetabek,832925.0
2019-03-02 17:29:29.411015,Offline Payments/QRIS,West Java,186497.0
2022-08-13 17:29:29.410978,Prepaid Pulsa,Central Java,216460.0
2022-03-16 17:29:29.410982,Postpaid Biller,Jabodetabek,124771.0
2019-05-31 17:29:29.411012,Postpaid Biller,Central Java,303652.0
2019-04-01 17:29:29.411014,Postpaid Biller,East Java,652014.0
2022-11-11 17:29:29.410975,Postpaid Biller,Central Java,578650.0
2019-05-01 17:29:29.411013,Postpaid Biller,Jabodetabek,985104.0
2021-12-16 17:29:29.410985,Postpaid Biller,East Java,80963.0
2020-01-26 17:29:29.411005,Offline Payments/QRIS,Jabodetabek,355321.0
2022-09-12 17:29:29.410977,Prepaid Pulsa,Jabodetabek,457019.0
2022-02-14 17:29:29.410983,Prepaid Pulsa,East Java,424971.0
2020-04-25 17:29:29.411003,Offline Payments/QRIS,Central Java,918976.0
2020-06-24 17:29:29.411001,Postpaid Biller,East Java,486639.0
2021-05-20 17:29:29.410991,Offline Payments/QRIS,Central Java,435896.0
2022-02-14 17:29:29.410983,Send Money,Jabodetabek,88484.0
2022-01-15 17:29:29.410984,Postpaid Biller,Jabodetabek,428854.0
2022-11-11 17:29:29.410975,Postpaid Biller,East Java,605747.0
2022-05-15 17:29:29.410980,Prepaid Pulsa,Jabodetabek,644848.0
2019-09-28 17:29:29.411009,Prepaid Pulsa,Jabodetabek,41227.0
2020-04-25 17:29:29.411003,Postpaid Biller,Central Java,671908.0
2020-11-21 17:29:29.410997,Offline Payments/QRIS,Jabodetabek,283811.0
2022-10-12 17:29:29.410976,Offline Payments/QRIS,Central Java,795213.0
2023-06-09 17:29:29.410968,Send Money,Central Java,287603.0
2022-06-14 17:29:29.410980,Offline Payments/QRIS,East Java,267309.0
2021-04-20 17:29:29.410992,Offline Payments/QRIS,Central Java,22284.0
2020-07-24 17:29:29.411000,Prepaid Pulsa,West Java,963471.0
2022-08-13 17:29:29.410978,Send Money,Central Java,684171.0
2021-09-17 17:29:29.410987,Postpaid Biller,East Java,70634.0
2021-03-21 17:29:29.410993,Prepaid Pulsa,East Java,867378.0
2019-03-02 17:29:29.411015,Postpaid Biller,West Java,779403.0
2019-11-27 17:29:29.411007,Postpaid Biller,East Java,648624.0
2022-06-14 17:29:29.410980,Send Money,East Java,533416.0
2023-02-09 17:29:29.410972,Offline Payments/QRIS,Jabodetabek,931994.0
2021-07-19 17:29:29.410989,Send Money,Jabodetabek,524511.0
2021-08-18 17:29:29.410989,Prepaid Pulsa,Jabodetabek,39852.0
2020-03-26 17:29:29.411004,Send Money,Jabodetabek,792796.0
2023-06-09 17:29:29.410968,Send Money,West Java,252712.0
2021-07-19 17:29:29.410989,Postpaid Biller,Jabodetabek,196514.0
2023-06-09 17:29:29.410968,Offline Payments/QRIS,Jabodetabek,677882.0
2022-06-14 17:29:29.410980,Postpaid Biller,Central Java,902572.0
2021-09-17 17:29:29.410987,Prepaid Pulsa,Central Java,881294.0
2020-07-24 17:29:29.411000,Offline Payments/QRIS,West Java,67266.0
2023-04-10 17:29:29.410970,Send Money,East Java,33772.0
2021-10-17 17:29:29.410986,Send Money,Jabodetabek,310000.0
2019-03-02 17:29:29.411015,Send Money,Central Java,274809.0
2022-04-15 17:29:29.410981,Postpaid Biller,West Java,809526.0
2020-07-24 17:29:29.411000,Offline Payments/QRIS,East Java,522188.0
2020-08-23 17:29:29.410999,Offline Payments/QRIS,East Java,42773.0
2023-01-10 17:29:29.410973,Send Money,Central Java,906493.0
2023-08-08 17:29:29.410965,Send Money,West Java,273435.0
2021-02-19 17:29:29.410994,Offline Payments/QRIS,East Java,258017.0
2019-05-31 17:29:29.411012,Postpaid Biller,Central Java,675574.0
2019-12-27 17:29:29.411006,Send Money,Central Java,754289.0
2021-06-19 17:29:29.410990,Postpaid Biller,Jabodetabek,562331.0
2023-03-11 17:29:29.410971,Send Money,Jabodetabek,864137.0
2021-03-21 17:29:29.410993,Send Money,East Java,803426.0
2020-07-24 17:29:29.411000,Offline Payments/QRIS,West Java,527588.0
2020-09-22 17:29:29.410998,Prepaid Pulsa,Central Java,465960.0
2023-03-11 17:29:29.410971,Postpaid Biller,Jabodetabek,876096.0
2021-10-17 17:29:29.410986,Postpaid Biller,West Java,980793.0
2019-01-01 17:29:29.411017,Postpaid Biller,West Java,971181.0
2019-09-28 17:29:29.411009,Postpaid Biller,West Java,484152.0
2019-12-27 17:29:29.411006,Send Money,Jabodetabek,520459.0
2022-05-15 17:29:29.410980,Postpaid Biller,West Java,773170.0
2020-06-24 17:29:29.411001,Prepaid Pulsa,Jabodetabek,505912.0
2023-07-09 17:29:29.410967,Postpaid Biller,West Java,827486.0
2022-10-12 17:29:29.410976,Postpaid Biller,Jabodetabek,586996.0
2022-03-16 17:29:29.410982,Prepaid Pulsa,Central Java,847864.0
2023-03-11 17:29:29.410971,Postpaid Biller,Central Java,520538.0
2019-08-29 17:29:29.411010,Offline Payments/QRIS,Central Java,489345.0
2022-08-13 17:29:29.410978,Postpaid Biller,East Java,974681.0
2022-02-14 17:29:29.410983,Postpaid Biller,Central Java,33763.0
2021-02-19 17:29:29.410994,Prepaid Pulsa,Jabodetabek,269812.0
2018-11-02 17:29:29.411019,Postpaid Biller,West Java,763630.0
2021-01-20 17:29:29.410995,Prepaid Pulsa,Jabodetabek,342889.0
2022-10-12 17:29:29.410976,Offline Payments/QRIS,East Java,593128.0
2023-06-09 17:29:29.410968,Postpaid Biller,East Java,835534.0
2019-05-31 17:29:29.411012,Offline Payments/QRIS,West Java,305063.0
2021-09-17 17:29:29.410987,Prepaid Pulsa,East Java,462893.0
2019-08-29 17:29:29.411010,Postpaid Biller,East Java,25949.0
2021-07-19 17:29:29.410989,Postpaid Biller,Jabodetabek,76497.0
2022-01-15 17:29:29.410984,Offline Payments/QRIS,Central Java,540128.0
2020-07-24 17:29:29.411000,Send Money,Jabodetabek,473900.0
2022-05-15 17:29:29.410980,Offline Payments/QRIS,Central Java,401051.0
2022-09-12 17:29:29.410977,Prepaid Pulsa,East Java,911472.0
2019-10-28 17:29:29.411008,Postpaid Biller,East Java,255140.0
2021-12-16 17:29:29.410985,Prepaid Pulsa,Jabodetabek,106253.0
2021-05-20 17:29:29.410991,Postpaid Biller,East Java,28004.0
2022-02-14 17:29:29.410983,Offline Payments/QRIS,West Java,631333.0
2022-06-14 17:29:29.410980,Postpaid Biller,East Java,662666.0
2021-12-16 17:29:29.410985,Send Money,Central Java,116796.0
2020-06-24 17:29:29.411001,Postpaid Biller,Central Java,450632.0
2021-09-17 17:29:29.410987,Offline Payments/QRIS,East Java,843714.0
2020-11-21 17:29:29.410997,Prepaid Pulsa,East Java,452394.0
2020-02-25 17:29:29.411004,Send Money,West Java,467430.0
2022-05-15 17:29:29.410980,Prepaid Pulsa,East Java,338772.0
2019-05-01 17:29:29.411013,Prepaid Pulsa,Jabodetabek,764043.0
2023-01-10 17:29:29.410973,Send Money,Jabodetabek,904198.0
2021-08-18 17:29:29.410989,Prepaid Pulsa,West Java,32062.0
2022-11-11 17:29:29.410975,Send Money,East Java,629715.0
2020-09-22 17:29:29.410998,Offline Payments/QRIS,West Java,943165.0
2019-05-31 17:29:29.411012,Prepaid Pulsa,Central Java,291242.0
2022-02-14 17:29:29.410983,Postpaid Biller,East Java,413736.0
2021-07-19 17:29:29.410989,Prepaid Pulsa,Central Java,430516.0
2019-04-01 17:29:29.411014,Postpaid Biller,East Java,628287.0
2019-01-31 17:29:29.411016,Offline Payments/QRIS,East Java,462525.0
2020-01-26 17:29:29.411005,Prepaid Pulsa,West Java,973689.0
2022-09-12 17:29:29.410977,Send Money,West Java,55062.0
2020-06-24 17:29:29.411001,Postpaid Biller,Jabodetabek,690966.0
2021-02-19 17:29:29.410994,Offline Payments/QRIS,Central Java,708262.0
2020-06-24 17:29:29.411001,Prepaid Pulsa,Central Java,401047.0
2020-07-24 17:29:29.411000,Offline Payments/QRIS,Jabodetabek,627046.0
2019-06-30 17:29:29.411011,Offline Payments/QRIS,Central Java,916256.0
2019-05-01 17:29:29.411013,Offline Payments/QRIS,East Java,679400.0
2020-07-24 17:29:29.411000,Offline Payments/QRIS,Jabodetabek,533774.0
2019-05-01 17:29:29.411013,Offline Payments/QRIS,Central Java,791762.0
2021-09-17 17:29:29.410987,Prepaid Pulsa,West Java,551479.0
2022-07-14 17:29:29.410979,Offline Payments/QRIS,Jabodetabek,218330.0
2020-02-25 17:29:29.411004,Prepaid Pulsa,Jabodetabek,243026.0
2021-04-20 17:29:29.410992,Postpaid Biller,East Java,806514.0
2020-08-23 17:29:29.410999,Offline Payments/QRIS,West Java,370891.0
2023-07-09 17:29:29.410967,Postpaid Biller,East Java,185358.0
2019-08-29 17:29:29.411010,Postpaid Biller,West Java,609668.0
2020-03-26 17:29:29.411004,Postpaid Biller,Jabodetabek,202444.0
2019-08-29 17:29:29.411010,Send Money,East Java,724962.0
2020-02-25 17:29:29.411004,Postpaid Biller,East Java,803990.0
2023-01-10 17:29:29.410973,Offline Payments/QRIS,West Java,286967.0
2021-02-19 17:29:29.410994,Prepaid Pulsa,Jabodetabek,993253.0
2020-06-24 17:29:29.411001,Offline Payments/QRIS,West Java,184131.0
2021-03-21 17:29:29.410993,Prepaid Pulsa,East Java,295470.0
2020-03-26 17:29:29.411004,Send Money,West Java,297723.0
2021-01-20 17:29:29.410995,Send Money,East Java,256054.0
2019-07-30 17:29:29.411010,Postpaid Biller,Jabodetabek,418678.0
2019-01-31 17:29:29.411016,Send Money,East Java,335627.0
2022-01-15 17:29:29.410984,Prepaid Pulsa,East Java,616655.0
2022-07-14 17:29:29.410979,Prepaid Pulsa,Jabodetabek,914053.0
2023-02-09 17:29:29.410972,Postpaid Biller,East Java,227210.0
2019-09-28 17:29:29.411009,Offline Payments/QRIS,East Java,415461.0
2020-05-25 17:29:29.411002,Prepaid Pulsa,East Java,892312.0
2019-06-30 17:29:29.411011,Offline Payments/QRIS,Central Java,374210.0
2022-02-14 17:29:29.410983,Postpaid Biller,Central Java,615005.0
2020-06-24 17:29:29.411001,Prepaid Pulsa,East Java,505655.0
2023-04-10 17:29:29.410970,Prepaid Pulsa,West Java,78882.0
2021-04-20 17:29:29.410992,Prepaid Pulsa,Jabodetabek,888644.0
2021-06-19 17:29:29.410990,Postpaid Biller,West Java,955934.0
2020-01-26 17:29:29.411005,Postpaid Biller,East Java,378359.0
2020-06-24 17:29:29.411001,Offline Payments/QRIS,Jabodetabek,426707.0
2020-05-25 17:29:29.411002,Prepaid Pulsa,East Java,371846.0
2019-03-02 17:29:29.411015,Prepaid Pulsa,Jabodetabek,917064.0
2021-04-20 17:29:29.410992,Send Money,West Java,722114.0
2019-10-28 17:29:29.411008,Prepaid Pulsa,Central Java,878130.0
2020-01-26 17:29:29.411005,Send Money,East Java,668632.0
2020-11-21 17:29:29.410997,Offline Payments/QRIS,West Java,411962.0
2018-12-02 17:29:29.411018,Postpaid Biller,Jabodetabek,239589.0
2018-11-02 17:29:29.411019,Postpaid Biller,Central Java,375572.0
2021-09-17 17:29:29.410987,Prepaid Pulsa,East Java,806313.0
2023-04-10 17:29:29.410970,Postpaid Biller,East Java,626298.0
2020-03-26 17:29:29.411004,Postpaid Biller,Central Java,322841.0
2021-10-17 17:29:29.410986,Send Money,Jabodetabek,694687.0
2020-04-25 17:29:29.411003,Postpaid Biller,Jabodetabek,387334.0
2019-12-27 17:29:29.411006,Offline Payments/QRIS,Jabodetabek,524180.0
2021-02-19 17:29:29.410994,Offline Payments/QRIS,East Java,317797.0
2020-08-23 17:29:29.410999,Postpaid Biller,West Java,18828.0
2022-11-11 17:29:29.410975,Send Money,Central Java,288411.0
2019-08-29 17:29:29.411010,Postpaid Biller,Jabodetabek,847205.0
2019-01-01 17:29:29.411017,Postpaid Biller,West Java,111653.0
2019-10-28 17:29:29.411008,Postpaid Biller,Jabodetabek,390485.0
2019-10-28 17:29:29.411008,Prepaid Pulsa,West Java,753780.0
2023-07-09 17:29:29.410967,Offline Payments/QRIS,West Java,773174.0
2018-11-02 17:29:29.411019,Send Money,Jabodetabek,554043.0
2020-08-23 17:29:29.410999,Prepaid Pulsa,Central Java,740060.0
2019-01-31 17:29:29.411016,Offline Payments/QRIS,West Java,168127.0
2021-02-19 17:29:29.410994,Offline Payments/QRIS,Jabodetabek,848289.0
2020-10-22 17:29:29.410997,Postpaid Biller,West Java,440829.0
2023-08-08 17:29:29.410965,Prepaid Pulsa,West Java,277871.0
2020-02-25 17:29:29.411004,Send Money,Central Java,327033.0
2023-06-09 17:29:29.410968,Postpaid Biller,West Java,355487.0
2019-05-01 17:29:29.411013,Postpaid Biller,Jabodetabek,84536.0
2021-06-19 17:29:29.410990,Postpaid Biller,Jabodetabek,303913.0
2021-11-16 17:29:29.410986,Postpaid Biller,Central Java,73181.0
2021-04-20 17:29:29.410992,Prepaid Pulsa,East Java,153414.0
2022-02-14 17:29:29.410983,Postpaid Biller,Central Java,112599.0
2022-12-11 17:29:29.410974,Offline Payments/QRIS,East Java,691583.0
2020-08-23 17:29:29.410999,Offline Payments/QRIS,East Java,647184.0
2020-01-26 17:29:29.411005,Postpaid Biller,Jabodetabek,169851.0
2021-01-20 17:29:29.410995,Offline Payments/QRIS,Central Java,82793.0
2022-10-12 17:29:29.410976,Send Money,West Java,377545.0
2020-10-22 17:29:29.410997,Send Money,Jabodetabek,192436.0
2022-06-14 17:29:29.410980,Offline Payments/QRIS,East Java,503576.0
2021-05-20 17:29:29.410991,Send Money,East Java,160789.0
2019-04-01 17:29:29.411014,Prepaid Pulsa,Central Java,831170.0
2021-02-19 17:29:29.410994,Offline Payments/QRIS,Jabodetabek,248266.0
2023-08-08 17:29:29.410965,Offline Payments/QRIS,West Java,836582.0
2022-02-14 17:29:29.410983,Postpaid Biller,Jabodetabek,770171.0
2019-12-27 17:29:29.411006,Prepaid Pulsa,Central Java,725825.0
2019-12-27 17:29:29.411006,Postpaid Biller,West Java,575427.0
2020-03-26 17:29:29.411004,Prepaid Pulsa,Central Java,861899.0
2022-09-12 17:29:29.410977,Prepaid Pulsa,West Java,343927.0
2020-07-24 17:29:29.411000,Send Money,Jabodetabek,870420.0
2020-03-26 17:29:29.411004,Postpaid Biller,Central Java,248826.0
2022-07-14 17:29:29.410979,Postpaid Biller,East Java,381539.0
2019-05-31 17:29:29.411012,Send Money,West Java,33423.0
2019-03-02 17:29:29.411015,Prepaid Pulsa,Central Java,766818.0
2022-08-13 17:29:29.410978,Offline Payments/QRIS,Jabodetabek,245565.0
2019-06-30 17:29:29.411011,Prepaid Pulsa,East Java,876451.0
2023-01-10 17:29:29.410973,Send Money,Central Java,612679.0
2021-02-19 17:29:29.410994,Prepaid Pulsa,Central Java,270746.0
2022-11-11 17:29:29.410975,Prepaid Pulsa,West Java,986298.0
2020-04-25 17:29:29.411003,Prepaid Pulsa,Central Java,383193.0
2021-06-19 17:29:29.410990,Postpaid Biller,Jabodetabek,881074.0
2023-06-09 17:29:29.410968,Send Money,West Java,504214.0
2021-10-17 17:29:29.410986,Send Money,Jabodetabek,647684.0
2023-01-10 17:29:29.410973,Prepaid Pulsa,West Java,399389.0
2023-05-10 17:29:29.410969,Postpaid Biller,East Java,662517.0
2018-11-02 17:29:29.411019,Postpaid Biller,Jabodetabek,416347.0
2023-03-11 17:29:29.410971,Send Money,Jabodetabek,871219.0
2022-11-11 17:29:29.410975,Prepaid Pulsa,Jabodetabek,481793.0
2020-03-26 17:29:29.411004,Offline Payments/QRIS,Central Java,574768.0
2021-02-19 17:29:29.410994,Offline Payments/QRIS,Jabodetabek,782994.0
2021-06-19 17:29:29.410990,Send Money,Central Java,448486.0
2022-03-16 17:29:29.410982,Send Money,East Java,103696.0
2019-06-30 17:29:29.411011,Send Money,Jabodetabek,22542.0
2019-08-29 17:29:29.411010,Offline Payments/QRIS,East Java,49603.0
2022-01-15 17:29:29.410984,Send Money,Central Java,308393.0
2023-01-10 17:29:29.410973,Prepaid Pulsa,East Java,288620.0
2021-01-20 17:29:29.410995,Postpaid Biller,Central Java,881083.0
2021-09-17 17:29:29.410987,Postpaid Biller,West Java,185030.0
2023-08-08 17:29:29.410965,Send Money,Jabodetabek,759188.0
2021-09-17 17:29:29.410987,Send Money,Jabodetabek,134540.0
2022-06-14 17:29:29.410980,Offline Payments/QRIS,Jabodetabek,703508.0
2020-03-26 17:29:29.411004,Offline Payments/QRIS,East Java,34476.0
2022-12-11 17:29:29.410974,Send Money,East Java,634787.0
2023-07-09 17:29:29.410967,Prepaid Pulsa,Central Java,17444.0
2022-11-11 17:29:29.410975,Send Money,East Java,487919.0
2019-10-28 17:29:29.411008,Prepaid Pulsa,East Java,975554.0
2021-12-16 17:29:29.410985,Prepaid Pulsa,Central Java,937468.0
2019-11-27 17:29:29.411007,Postpaid Biller,Jabodetabek,103032.0
2020-12-21 17:29:29.410996,Offline Payments/QRIS,Jabodetabek,828957.0
2023-09-07 17:29:29.410956,Postpaid Biller,Jabodetabek,884014.0
2020-03-26 17:29:29.411004,Offline Payments/QRIS,Jabodetabek,951531.0
2022-01-15 17:29:29.410984,Prepaid Pulsa,West Java,701818.0
2022-12-11 17:29:29.410974,Postpaid Biller,West Java,788257.0
2018-11-02 17:29:29.411019,Prepaid Pulsa,Central Java,569772.0
2022-04-15 17:29:29.410981,Offline Payments/QRIS,West Java,14067.0
2023-06-09 17:29:29.410968,Offline Payments/QRIS,West Java,103957.0
2022-01-15 17:29:29.410984,Send Money,East Java,724470.0
2023-02-09 17:29:29.410972,Send Money,Central Java,493036.0
2020-08-23 17:29:29.410999,Offline Payments/QRIS,Jabodetabek,805083.0
2021-09-17 17:29:29.410987,Postpaid Biller,East Java,412824.0
2021-04-20 17:29:29.410992,Offline Payments/QRIS,Jabodetabek,539492.0
2019-08-29 17:29:29.411010,Postpaid Biller,West Java,530200.0
2019-05-31 17:29:29.411012,Offline Payments/QRIS,Central Java,466612.0
2022-03-16 17:29:29.410982,Prepaid Pulsa,Jabodetabek,912111.0
2023-01-10 17:29:29.410973,Postpaid Biller,East Java,680728.0
2021-12-16 17:29:29.410985,Prepaid Pulsa,Central Java,975900.0
2022-08-13 17:29:29.410978,Send Money,Jabodetabek,87257.0
2022-06-14 17:29:29.410980,Send Money,West Java,619233.0
2020-11-21 17:29:29.410997,Prepaid Pulsa,Central Java,827104.0
2023-09-07 17:29:29.410956,Send Money,West Java,760469.0
2023-04-10 17:29:29.410970,Postpaid Biller,West Java,572218.0
2019-05-01 17:29:29.411013,Prepaid Pulsa,East Java,476656.0
2021-09-17 17:29:29.410987,Postpaid Biller,East Java,498170.0
2019-03-02 17:29:29.411015,Postpaid Biller,East Java,681488.0
2019-10-28 17:29:29.411008,Offline Payments/QRIS,Central Java,428305.0
2021-05-20 17:29:29.410991,Postpaid Biller,East Java,33646.0
2022-11-11 17:29:29.410975,Send Money,Jabodetabek,723527.0
2022-08-13 17:29:29.410978,Prepaid Pulsa,Jabodetabek,635017.0
2020-10-22 17:29:29.410997,Prepaid Pulsa,East Java,519120.0
2019-01-01 17:29:29.411017,Postpaid Biller,West Java,104003.0
2021-08-18 17:29:29.410989,Offline Payments/QRIS,East Java,394256.0
2023-08-08 17:29:29.410965,Postpaid Biller,Jabodetabek,523810.0
2019-05-01 17:29:29.411013,Offline Payments/QRIS,Central Java,629016.0
2023-08-08 17:29:29.410965,Prepaid Pulsa,Central Java,384265.0
2021-02-19 17:29:29.410994,Prepaid Pulsa,East Java,9003.0
2021-05-20 17:29:29.410991,Postpaid Biller,West Java,183259.0
2023-08-08 17:29:29.410965,Send Money,Jabodetabek,696218.0
2019-10-28 17:29:29.411008,Postpaid Biller,Jabodetabek,947811.0
2023-03-11 17:29:29.410971,Postpaid Biller,West Java,399677.0
2019-06-30 17:29:29.411011,Offline Payments/QRIS,Central Java,98726.0
2020-03-26 17:29:29.411004,Send Money,Central Java,427593.0
2020-11-21 17:29:29.410997,Postpaid Biller,Central Java,838180.0
2023-01-10 17:29:29.410973,Offline Payments/QRIS,Jabodetabek,787698.0
2020-07-24 17:29:29.411000,Send Money,East Java,374766.0
2022-05-15 17:29:29.410980,Send Money,Central Java,7317.0
